ANT1,21.42,6.73,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,14.39,-0.39,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,1.51,-9.94,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,-0.08,4.52,0.00,"N. C.",NORDIC_NRF_3_RESC0201_L
C11,4.42,3.44,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,2.32,7.43,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,1.22,4.01,0.00,"N. C.",NORDIC_NRF_3_RESC0201_L
C14,6.41,-7.48,0.00,4.7μF,NORDIC_NRF_3_RESC0201_L
C15,1.21,5.24,0.00,1.0μF,NORDIC_NRF_3_RESC0201_L
C16,-0.09,5.26,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-4.29,4.56,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-3.99,1.88,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-4.41,-2.66,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,2.89,4.59,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-22.29,-10.70,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,-3.55,-3.89,180.00,4.7μF,NORDIC_NRF_3_RESC0201_L
C21,-4.65,-3.65,0.00,4.7μF,NORDIC_NRF_3_RESC0201_L
C22,14.19,15.92,90.00,"N. C.",NORDIC_NRF_3_RESC0201_L
C23,10.36,9.12,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,9.13,9.36,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,22.13,2.64,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,19.72,3.59,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,16.63,-0.59,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,15.69,15.93,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,16.43,0.64,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,16.52,1.88,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,12.17,15.94,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,22.13,1.56,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,15.02,13.45,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,9.37,14.44,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,18.07,7.58,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,16.87,8.55,270.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,14.94,15.90,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,18.28,8.76,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-9.95,15.97,270.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,-4.69,2.44,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,22.15,0.53,0.00,4.7μF,NORDIC_NRF_3_RESC0201_L
C7,22.15,3.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,21.49,-1.01,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,4.29,-0.23,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-20.34,-8.65,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-13.28,14.87,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-19.10,-12.46,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-8.17,-6.47,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,2.90,-7.49,180.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-10.25,3.35,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,-12.55,-9.45,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-14.05,-9.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-12.45,-8.45,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-10.25,4.10,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,1.98,-8.95,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-8.95,-2.50,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-10.35,-2.50,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-10.35,-3.45,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,-8.95,-3.45,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,17.48,5.26,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,11.85,12.90,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-0.53,7.33,0.00,BMA423_BMA423,BMA423_BMA423
IC9,8.19,7.54,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,11.49,-6.42,0.00,IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,15.52,14.73,180.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,-2.15,4.44,90.00,10μH,NORDIC_NRF_2_RESC0402_L
L3,-1.17,4.44,270.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-5.75,-11.07,90.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,12.03,7.61,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,-9.22,8.88,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-4.07,7.74,0.00,3K3,CPF0201D7K68C1_0201
R18,-2.87,8.40,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-16.94,7.68,90.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.41,10.43,270.40,5K1,CPF0201D7K68C1_0201
R2,-3.33,5.08,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-16.08,9.36,90.00,10K,CPF0201D7K68C1_0201
R2_USB,0.63,9.75,90.00,5K1,CPF0201D7K68C1_0201
R3,-2.83,6.22,0.00,0,CPF0201D7K68C1_0201
R4,6.76,8.42,0.00,0,CPF0201D7K68C1_0201
R5,17.71,0.90,90.00,10K,CPF0201D7K68C1_0201
R7,17.72,0.41,90.00,10K,CPF0201D7K68C1_0201
R8,17.72,1.38,90.00,10K,CPF0201D7K68C1_0201
R9,17.62,2.38,270.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,4.64,-4.62,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-17.02,9.08,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-19.89,9.58,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.14,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,20.02,-3.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,17.50,12.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-19.11,13.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-16.18,-15.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,13.10,14.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,13.90,12.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,16.36,-9.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,11.63,10.53,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,16.67,10.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.05,-3.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,5.92,-3.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,1.62,-4.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,18.61,14.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,19.50,11.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$11,-0.01,0.07,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,7.29,14.87,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,12.66,1.51,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-6.02,5.10,270.00,32.769kHz,NORDIC_NRF_1_XTAL_3215_N
